id,titulo,disciplina,ano,status,id_anterior,titulo_anterior,disciplina_anterior,ano_anterior,status_anterior
20171,Calculando preços,Matemática,4,1,20095,Multiplicação com dois algarismos,Matemática,4,1
20171,Calculando preços,Matemática,4,1,73,Cálculo mental,Matemática,4,0
20171,Calculando preços,Matemática,4,1,34,Divisão - Problemas,Matemática,4,1
20171,Calculando preços,Matemática,4,1,20269,Divisão exata e não exata,Matemática,4,1
20181,"Multiplicação por 10, 100 e 1.000",Matemática,4,1,20095,Multiplicação com dois algarismos,Matemática,4,1
20181,"Multiplicação por 10, 100 e 1.000",Matemática,4,1,24,Multiplicação,Matemática,3,1
20187,Apólogo,L. Portuguesa,5,1,20787,Interpretando textos,L. Portuguesa,5,1
20187,Apólogo,L. Portuguesa,5,1,20431,Todo texto parte de uma ideia,L. Portuguesa,5,1
20200,"Poemas: rimas, versos e estrofes",L. Portuguesa,3,1,20714,Brincando com cantigas,L. Portuguesa,2,1
20201,Texto instrucional,L. Portuguesa,3,1,20298,Textos instrucionais: receitas,L. Portuguesa,3,1
20221,"Tempos verbais - passado, presente e futuro.",L. Portuguesa,5,1,20424,Estudando concordância verbal,L. Portuguesa,5,1
20221,"Tempos verbais - passado, presente e futuro.",L. Portuguesa,5,1,20184,Verbos - terminações am e ão,L. Portuguesa,4,1
20231,Separação silábica,L. Portuguesa,3,1,10025,Estrutura das sílabas,L. Portuguesa,2,1
20233,Conjugações verbais e verbos auxiliares,L. Portuguesa,4,1,20391,Concordância verbal,L. Portuguesa,4,1
20234,Reforço de pontuação,L. Portuguesa,4,0,20390,Pontuação - 4º ano,L. Portuguesa,4,1
20234,Reforço de pontuação,L. Portuguesa,4,0,10008,Pontuação,L. Portuguesa,3,1
20235,Palavras com C e som de S (Ce e Ci),L. Portuguesa,4,1,20262,Família do C,L. Portuguesa,3,1
20236,Preposições,L. Portuguesa,5,1,20219,Artigos,L. Portuguesa,4,1
20237,Contos de fadas,L. Portuguesa,4,1,20422,Elementos da estrutura narrativa: lenda e fábula,L. Portuguesa,4,1
20237,Contos de fadas,L. Portuguesa,4,1,20423,"Elementos da narrativa: lenda e fábula  (cenário, personagens, conflito gerador, resolução e foco)",L. Portuguesa,4,1
20237,Contos de fadas,L. Portuguesa,4,1,20196,Sequência de fatos,L. Portuguesa,3,0
20242,Medidas de capacidade e massa - na prática,Matemática,3,1,24,Multiplicação,Matemática,3,1
20242,Medidas de capacidade e massa - na prática,Matemática,3,1,20250,Medidas de capacidade - cheio ou vazio?,Matemática,2,1
20243,Divisão: Situações problemas com agrupamentos,Matemática,3,1,24,Multiplicação,Matemática,3,1
20244,Multiplicação - organização retangular,Matemática,2,1,53,Adição,Matemática,2,1
20245,Situações-problemas com as quatro operações,Matemática,4,1,20181,"Multiplicação por 10, 100 e 1.000",Matemática,4,1
20245,Situações-problemas com as quatro operações,Matemática,4,1,20095,Multiplicação com dois algarismos,Matemática,4,1
20245,Situações-problemas com as quatro operações,Matemática,4,1,73,Cálculo mental,Matemática,4,0
20245,Situações-problemas com as quatro operações,Matemática,4,1,34,Divisão - Problemas,Matemática,4,1
20245,Situações-problemas com as quatro operações,Matemática,4,1,20269,Divisão exata e não exata,Matemática,4,1
